station_number,SMAPE
218,0.205748928
434,0.200608036
2528,0.191876523
309,0.189593652
431,0.186246895
336,0.18568905
2556,0.175133899
2620,0.152976306
2534,0.140743613
209,0.139416756
2819,0.136449061
247,0.13487462
2821,0.131502524
425,0.12836485
241,0.121601062
2711,0.121242924
430,0.116994679
245,0.116434805
2814,0.115279359
318,0.115104265
201,0.111471894
2641,0.111231991
317,0.108588036
2532,0.106102568
248,0.104073483
249,0.103819053
207,0.10369483
2515,0.103601234
2537,0.101633015
339,0.101042314
2632,0.099760321
2616,0.099571636
2630,0.099202455
159,0.0980786
322,0.0979844
2815,0.096945166
246,0.093596169
310,0.092882247
2638,0.091555246
2717,0.090051689
2640,0.089060455
320,0.088930881
224,0.088807853
2525,0.088806037
152,0.088747551
2511,0.088740909
316,0.088262118
2731,0.087248429
202,0.08716317
2558,0.086907324
2817,0.08658049
2633,0.086471702
2536,0.086362011
250,0.086255852
2618,0.085995739
410,0.085984541
319,0.085962192
2750,0.085221707
334,0.084746214
2728,0.084047864
213,0.083928888
331,0.083664131
2527,0.083585496
2827,0.083470207
2519,0.083415744
338,0.082597722
244,0.082586927
2516,0.082315242
2826,0.082131972
216,0.081827583
342,0.081442951
2730,0.081289338
203,0.08110485
333,0.08101796
219,0.080257672
157,0.080133621
2539,0.080064175
2732,0.080052614
315,0.079975489
2636,0.079872841
2526,0.079618096
2820,0.079451118
428,0.07896714
2533,0.078300662
2647,0.078093903
2733,0.077649668
151,0.077568534
2614,0.077504435
2544,0.077175121
204,0.077068633
2547,0.076865743
324,0.075929561
2628,0.075093221
2629,0.074966777
313,0.074552668
2559,0.074362381
2712,0.074190995
2822,0.074134587
2552,0.07391007
2648,0.073898693
2553,0.073785474
2748,0.073600731
2752,0.073397104
2513,0.073169012
429,0.072852376
2557,0.072808943
416,0.072724913
330,0.072278529
2561,0.071498328
242,0.071477121
2714,0.07112892
2634,0.071078409
326,0.07072975
154,0.070644486
234,0.070523965
2535,0.070493984
2560,0.070479283
328,0.070351551
337,0.070119678
2538,0.070011642
2524,0.069942891
2725,0.069833025
221,0.069713378
155,0.069417146
215,0.0692006
329,0.069165005
423,0.06910897
2554,0.069074681
341,0.06894417
2824,0.068681397
424,0.068615494
2626,0.068556166
2740,0.068295488
335,0.067920199
2811,0.067838824
2540,0.06740104
243,0.067330031
2635,0.067325106
426,0.067182584
2812,0.066878475
2742,0.066607498
2542,0.066452446
2531,0.065990854
2643,0.065735248
2816,0.065485579
340,0.065243617
433,0.065135989
2523,0.064799621
2823,0.06477104
2751,0.064601402
150,0.064582727
210,0.064538552
2744,0.064355787
2718,0.064334288
2737,0.064225677
2726,0.064114457
2646,0.06406882
2612,0.063974812
2512,0.063917539
427,0.063915535
2741,0.063911063
2825,0.06378678
332,0.063762968
214,0.063508906
2818,0.063449434
2625,0.063255199
418,0.063196791
2530,0.063018333
2747,0.06300215
2541,0.062911356
2720,0.062811574
2529,0.062736922
2813,0.062549469
420,0.062522755
2631,0.062479667
417,0.062416761
419,0.062267796
2736,0.062261307
409,0.062194906
2546,0.061512616
220,0.061353339
2637,0.061324573
2723,0.061269153
153,0.061210377
2518,0.061160417
205,0.061104469
211,0.061014016
2621,0.060915899
327,0.060898159
235,0.06073673
314,0.06073653
2517,0.060463037
2639,0.059977028
2617,0.059973373
2745,0.059619473
2613,0.059502009
415,0.059498134
156,0.059435046
2623,0.059342929
2550,0.05928617
325,0.059196471
2735,0.059183349
2721,0.059179616
2644,0.058878108
2713,0.058820559
2729,0.058804952
2719,0.058418294
2746,0.058222198
237,0.057873323
2739,0.057780517
2520,0.057493189
2545,0.057240699
422,0.057156048
2716,0.056958465
2624,0.056920376
2514,0.056598517
2619,0.056579737
2642,0.056559374
225,0.056445142
2555,0.056343338
2551,0.056114605
227,0.055734372
421,0.05539719
2722,0.055341292
239,0.055283483
240,0.055265459
223,0.054963624
2522,0.054832976
2622,0.054522252
236,0.053884346
312,0.053729845
208,0.053373937
323,0.053257921
414,0.053079735
413,0.05248412
2734,0.052454651
230,0.052336969
2743,0.05231352
217,0.052095402
2627,0.050853848
206,0.050683846
2645,0.050577381
432,0.050222159
226,0.049767282
2549,0.049660679
2724,0.049446536
2521,0.04928752
2727,0.049251067
2611,0.049164878
233,0.048715044
2543,0.04855083
411,0.048293239
228,0.048076775
158,0.047531991
222,0.047512438
229,0.047360932
231,0.047221719
2548,0.046891553
2749,0.046221507
238,0.046052778
311,0.044739551
212,0.044560778
2738,0.043447658
2715,0.042613791
412,0.041197751
232,0.0402378
2753,-1
2754,-1
2755,-1
2756,-1
2757,-1
2758,-1
2759,-1
2760,-1
2761,-1
